country_code,country,year,nominal_house_price_index,real_house_price_index,rent_price_index,price_to_income_ratio,price_to_rent_ratio,nominal_price_yoy_growth_pct,real_price_yoy_growth_pct,rent_yoy_growth_pct,nominal_price_total_growth_pct,rent_total_growth_pct
NLD,Netherlands,2017,113.79175,110.795142802464,103.916744804163,108.08714091667,109.499782699731,8.071011031070285,5.978314979337718,1.7981273731113134,2.1213249811537382,21.105756240355646
NLD,Netherlands,2018,124.37875,118.648359893342,105.949444702528,112.841328904121,117.385353636267,9.30383793201177,7.08805177938121,1.9560850392261075,11.622527551423346,23.474687819814875
NLD,Netherlands,2019,133.38125,124.342882514197,108.544494572775,115.945414177599,122.877452711591,7.237972724440467,4.799495438431722,2.4493284297365303,19.701735649926412,26.498988452114002
NLD,Netherlands,2020,144.0405,131.575181988253,111.501444424928,120.814786818369,129.171051452572,7.991565531137268,5.816416129190394,2.724182247834306,29.267778296298964,29.945051439216464
NLD,Netherlands,2021,164.89,144.358398202772,113.559994322,131.111736298075,145.214818614037,14.47474842145089,9.715522351061834,1.8462091748578047,47.97896399468715,32.34410890116097
NLD,Netherlands,2022,186.82025,152.24441071028,115.673494216325,138.605524255597,161.516495986125,13.299927224210073,5.462801337287604,1.8611306798168359,67.66005851312057,34.807205714850696
NLD,Netherlands,2023,183.25525,139.523551170835,118.52379407381,125.972814313659,154.620117617269,-1.9082513806720658,-8.355551103713555,2.4640907381552335,64.46068313170836,38.128977585236214
NLD,Netherlands,2024,198.1997500007,147.075722513056,122.93819385309,130.538402920214,161.189543325521,8.155018751550092,5.412829073547587,3.72448402768053,77.87248268002655,43.273569292996726
POL,Poland,2010,105.61,113.421771170211,91.0350997758775,127.881225598757,116.011081451675,,,,0.0,0.0
POL,Poland,2011,105.695,108.570960702857,93.8326573458164,121.80854241059,112.653255851461,0.08048480257549784,-4.27678955927645,3.0730537746718634,0.08048480257549784,3.0730537746718634
POL,Poland,2012,102.005,101.681001818925,96.2360099059003,112.531942407202,106.005142560859,-3.4911774445337995,-6.346042108615779,2.5613178056190344,-3.4135025092320803,5.71308225379783
POL,Poland,2013,97.5350000000001,96.8113915567797,97.5712124392803,106.217302682692,99.9627846905622,-4.382138130483703,-4.789105314695041,1.3874250757960116,-7.646056244673705,7.179772065383894
POL,Poland,2014,98.5000000000001,98.0693681616727,98.683877467097,101.166862020805,99.8121887472539,0.9893884246680695,1.2994096920455833,1.1403619981755764,-6.732317015434052,8.402009455748715
POL,Poland,2015,100.0,100.0,100.0,100.0,100.0,1.5228426395938133,1.968639009832862,1.333675334496065,-5.311996969983901,9.847740317958142
POL,Poland,2016,101.8575,102.566470855073,101.303427532586,97.2781889622756,100.541134612021,1.8575000000000008,2.5664708550729998,1.30342753258601,-3.5531673137013553,11.27952600918598
POL,Poland,2017,105.7825,104.561718553156,104.336202608405,95.8060000398352,101.379294977641,3.8534226738335287,1.9453215865273155,2.9937536662749675,0.16333680522677696,14.610960898899394
POL,Poland,2018,112.7425,109.785283829448,108.367252709181,96.2993897290793,104.025731640287,6.579538203389035,4.99567657128408,3.863520043857971,6.753621816115896,19.038978345686598
